Phrase,Tool,Weigth,Type
POLICY,Openvas,0,Policy Compliance
DEFAULT ACCOUNTS,Openvas,0,
WINDOWS : MICROSOFT BULLETINS,Openvas,0
SERVICE DETECTION,Openvas,0,Info
PRODUCT DETECTION,Openvas,0,Info
PORT SCANNERS,Openvas,0,Info
END OF LIFE,Openvas,5,EOL
DEFAULT CREDENTIALS,Openvas,5,Configuration Changes
VENDORFIX,Openvas,5,Update or patch installation
UPGRADE,Openvas,5,Update or patch installation
UPDATE,Openvas,5,Update or patch installation
PATCH,Openvas,5,Update or patch installation
HOTFIX,Openvas,5,Update or patch installation
DISABLE,Openvas,5,Configuration Changes
CHANGE,Openvas,5,Configuration Changes
APPLY,Openvas,5,Update or patch installation
FIX,Openvas,5,Update or patch installation